AGENCY,TRANSACTION_DATE,TRANSACTION_AMOUNT,VENDOR_NAME,VENDOR_STATE_PROVINCE,MCC_DESCRIPTION,DCS_LAST_MOD_DTTM,OBJECTID
Office of the Chief Financial Officer,2024/05/14 04:00:00+00,945,ACFE,TX,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545895
Office of the Chief Financial Officer,2024/05/14 04:00:00+00,945,ACFE,TX,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545896
District of Columbia Public Schools,2024/05/14 04:00:00+00,2319.65,NATL CCL TEACHERS OF M,,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545897
District of Columbia Public Schools,2024/05/14 04:00:00+00,3313.3,NATL CCL TEACHERS OF M,,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545898
District of Columbia Public Schools,2024/05/14 04:00:00+00,-782.8,BARON TOURS,MD,TRANSPRTN-SUBRBN + LOCAL COMTR PSNGR  INCL FERRIES,2024/06/11 15:15:49+00,545899
District Department of the Environment,2024/05/14 04:00:00+00,350,CHESAPEAKE RESEARCH CO,MD,OTHER SERVICES (NOT ELSEWHERE CLASSIFIED),2024/06/11 15:15:49+00,545900
District of Columbia Public Schools,2024/05/14 04:00:00+00,328.25,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545903
District of Columbia Public Schools,2024/05/14 04:00:00+00,2500,IN *IMAGINE CONSULTING,DC,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545904
District of Columbia Public Schools,2024/05/14 04:00:00+00,74.79,THE UPS STORE 7740,DC,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545905
District of Columbia Public Schools,2024/05/14 04:00:00+00,427,IMAGINATION STAGE,MD,THEATRICAL PRODUCERS(EXCL MOTION PIX) TICKET AGNCY,2024/06/11 15:15:49+00,545913
District of Columbia Public Schools,2024/05/14 04:00:00+00,200,NAT L ARCHERY SCHOOLS,WI,DURABLE GOODS  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545918
City Administrator/Deputy Mayor,2024/05/14 04:00:00+00,676.81,CVENT* CALIFORNIA ASSO,VA,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545922
Office of the Attorney General,2024/05/14 04:00:00+00,104.75,IN *COLLINSON ENTERPRI,CA,DURABLE GOODS  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545924
Office of the Mayor,2024/05/14 04:00:00+00,700,IN *NO LIMITS STAGING,MD,OTHER SERVICES (NOT ELSEWHERE CLASSIFIED),2024/06/11 15:15:49+00,545925
District of Columbia Public Schools,2024/05/14 04:00:00+00,221.45,LINKEDIN ADS 964560275,CA,DIRECT MARKETING-CONTINUITY-SUBSCRIPTION MERCHANTS,2024/06/11 15:15:49+00,545926
District of Columbia Public Schools,2024/05/14 04:00:00+00,37.46,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545927
Department of Motor Vehicles,2024/05/14 04:00:00+00,275.88,DNH*GODADDY.COM,AZ,COMPUTER NETWORK-INFORMATION SERVICES,2024/06/11 15:15:49+00,545929
District of Columbia Public Schools,2024/05/14 04:00:00+00,276,AMTRAK .CO13,DC,PASSENGER RAILWAYS,2024/06/11 15:15:49+00,545935
District Department of the Environment,2024/05/14 04:00:00+00,218.26,"NBA OFFICE PRODUCTS, I",DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545939
District of Columbia Public Schools,2024/05/14 04:00:00+00,1267.95,STAPLES       00105841,MD,OFFICE  SCHOOL SUPPLY  AND STATIONERY STORES,2024/06/11 15:15:49+00,546050
District Department of the Environment,2024/05/14 04:00:00+00,291.89,"IN *SUPRETECH, INC.",CA,COMPUTERS  COMPUTER PERIPHERAL EQUIPMENT  SOFTWARE,2024/06/11 15:15:49+00,546059
DC Public Library,2024/05/14 04:00:00+00,100.1,BLUEBAY OFFICE INC,DC,OFFICE  SCHOOL SUPPLY  AND STATIONERY STORES,2024/06/11 15:15:49+00,546061
DC Public Library,2024/05/14 04:00:00+00,26.2,BLUEBAY OFFICE INC,DC,OFFICE  SCHOOL SUPPLY  AND STATIONERY STORES,2024/06/11 15:15:49+00,546062
Office of the Attorney General,2024/05/14 04:00:00+00,661,KW COURT REPORTING,CA,ATTORNEYS  LEGAL SERVICES,2024/06/11 15:15:49+00,546063
Office of the Attorney General,2024/05/14 04:00:00+00,563,KW COURT REPORTING,CA,ATTORNEYS  LEGAL SERVICES,2024/06/11 15:15:49+00,546064
District of Columbia Public Schools,2024/05/14 04:00:00+00,3537.85,METROPOLITAN,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546388
District of Columbia Public Schools,2024/05/14 04:00:00+00,193.08,METROPOLITAN,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546397
District of Columbia Public Schools,2024/05/14 04:00:00+00,2500,THE DARCY,DC,LODGING-HOTELS MOTELS RESORTS-NOT CLASSIFIED,2024/06/11 15:15:49+00,546399
District Department of the Environment,2024/05/14 04:00:00+00,131,AMTRAK .CO13,DC,PASSENGER RAILWAYS,2024/06/11 15:15:49+00,546405
Office of the Attorney General,2024/05/14 04:00:00+00,972.96,SOUTHWEST,TX,SOUTHWEST AIRLINES,2024/06/11 15:15:49+00,546406
District of Columbia Public Schools,2024/05/14 04:00:00+00,288.1,ALASKA A  02,WA,ALASKA AIRLINES INC.,2024/06/11 15:15:49+00,546698
DC Public Library,2024/05/14 04:00:00+00,160,PAYPAL,CA,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546701
District of Columbia Public Schools,2024/05/14 04:00:00+00,276,AMTRAK .CO13,DC,PASSENGER RAILWAYS,2024/06/11 15:15:49+00,546717
District of Columbia Public Schools,2024/05/14 04:00:00+00,96.65,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546842
District of Columbia Public Schools,2024/05/14 04:00:00+00,699.8,U.S. OFFICE SOLUTIONS,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546852
District of Columbia Public Schools,2024/05/14 04:00:00+00,802,ACCUTRAIN CORPORATION,VA,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546862
District of Columbia Public Schools,2024/05/14 04:00:00+00,450,INT*BACCALAUREATE ORG,CHE,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546982
District of Columbia Public Schools,2024/05/14 04:00:00+00,1250,BLACKS IN GOVERNMENT,DC,ORGANIZATIONS  CHARITABLE AND SOCIAL SERVICES,2024/06/11 15:15:49+00,546994
Fire & Emergency Medical Services,2024/05/14 04:00:00+00,56.95,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546996
Fire & Emergency Medical Services,2024/05/14 04:00:00+00,169.32,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546997
District of Columbia Public Schools,2024/05/14 04:00:00+00,667.64,OFFICE DEPOT #5910,PA,DIRECT MARKETING-COMBINATION CATALOG-RETAIL MERCH.,2024/06/11 15:15:49+00,547002
Office of Finance & Resource Management,2024/05/14 04:00:00+00,171.69,STANDARD OFFICE SUPPLY,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,547003
District Department of Transportation,2024/05/14 04:00:00+00,2906.77,ULINE,WI,DIRECT MARKETING-CATALOG MERCHANTS,2024/06/11 15:15:49+00,547139
District of Columbia Public Schools,2024/05/14 04:00:00+00,31.57,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,547143
District of Columbia Public Schools,2024/05/14 04:00:00+00,60.33,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,547145
DC National Guard,2024/05/13 04:00:00+00,642.8,IN *PRECISION CAPITAL,CA,STATIONERY-OFFICE SUPPLIES-PRINTING + WRITING PAP.,2024/06/11 15:15:49+00,544918
DC National Guard,2024/05/13 04:00:00+00,4995,BFPE INTERNATIONAL,MD,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,544919
District of Columbia Public Schools,2024/05/13 04:00:00+00,370,WP**THELITTLETOWNSMUSE,DC,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,544920
Fire & Emergency Medical Services,2024/05/13 04:00:00+00,109.14,AMAZON MAR* 114-291546,WA,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,544921
District of Columbia Public Schools,2024/05/13 04:00:00+00,2007,ON-TAP,DE,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,544922
District of Columbia Public Schools,2024/05/13 04:00:00+00,1490,M WELLES,CO,CONSULTING  MANAGEMENT  AND PUBLIC RELATIONS SVCS,2024/06/11 15:15:49+00,544923
Fire & Emergency Medical Services,2024/05/13 04:00:00+00,3500,SQ *HUGE MASONRY,MD,OTHER SERVICES (NOT ELSEWHERE CLASSIFIED),2024/06/11 15:15:49+00,544926
District of Columbia Public Schools,2024/05/13 04:00:00+00,132.5,CROWN AWARDS INC,NY,SPORTING GOODS STORES,2024/06/11 15:15:49+00,544928
District Department of Transportation,2024/05/13 04:00:00+00,159.4,BLUEBAY OFFICE INC,DC,OFFICE  SCHOOL SUPPLY  AND STATIONERY STORES,2024/06/11 15:15:49+00,544933
Fire & Emergency Medical Services,2024/05/13 04:00:00+00,28.63,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,544934
District of Columbia Public Schools,2024/05/13 04:00:00+00,1080,THE LIONS STORY,PA,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,544935
Fire & Emergency Medical Services,2024/05/13 04:00:00+00,4940,"IN *LECTICON, INC.",UT,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,544936
District of Columbia Public Schools,2024/05/13 04:00:00+00,213.48,BORIS L HENSON FDN,CA,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,544938
District of Columbia Public Schools,2024/05/13 04:00:00+00,375,TOUCAN PRINTING & PROM,DC,MISCELLANEOUS PUBLISHING AND PRINTING,2024/06/11 15:15:49+00,544940
DC Public Library,2024/05/13 04:00:00+00,800,B & W STAT LABORATORY,DC,MEDICAL AND DENTAL LABORATORIES,2024/06/11 15:15:49+00,544942
Office of the Mayor,2024/05/13 04:00:00+00,1500,PAYPAL,CA,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,544948
DC Public Library,2024/05/13 04:00:00+00,1260,MARC LLC,DC,HEALTH PRACTITIONERS  MEDICAL SRVCS-NOT ELSEWHERE,2024/06/11 15:15:49+00,545070
DC Public Library,2024/05/13 04:00:00+00,735,MPD FIREARM KIOSK,DC,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545071
District of Columbia Public Schools,2024/05/13 04:00:00+00,14.18,WL *DHL USA,FL,COURIER SVC-AIR + GROUND  FREIGHT FORWARDERS,2024/06/11 15:15:49+00,545075
District of Columbia Public Schools,2024/05/13 04:00:00+00,41.98,WL *DHL USA,FL,COURIER SVC-AIR + GROUND  FREIGHT FORWARDERS,2024/06/11 15:15:49+00,545076
Office of the Attorney General,2024/05/13 04:00:00+00,21,COURTS/USDC-CA-C,CA,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545078
"Department of Insurance, Securities & Banking",2024/05/13 04:00:00+00,140,WOMEN IN HOUSING & FIN,VA,ASSOCIATIONS-CIVIC  SOCIAL  AND FRATERNAL,2024/06/11 15:15:49+00,545083
DC National Guard,2024/05/13 04:00:00+00,452.6,GRAINGER,IL,INDUSTRIAL SUPPLIES NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545084
District of Columbia Public Schools,2024/05/13 04:00:00+00,1000,IN *DEADWYLER TRANSPOR,CA,TRANSPORTATION SERVICES NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545087
District of Columbia Public Schools,2024/05/13 04:00:00+00,795,SQ *THE MAGIC OF JOE R,VA,BANDS  ORCHESTRAS  + MISC ENTRTNRS-NOT ELSWHR CLAS,2024/06/11 15:15:49+00,545089
Department of Health,2024/05/13 04:00:00+00,140.54,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545090
District of Columbia Public Schools,2024/05/13 04:00:00+00,3818.75,TOUCAN PRINTING & PROM,DC,MISCELLANEOUS PUBLISHING AND PRINTING,2024/06/11 15:15:49+00,545091
District of Columbia Public Schools,2024/05/13 04:00:00+00,414.35,IN *PRECISION CAPITAL,CA,STATIONERY-OFFICE SUPPLIES-PRINTING + WRITING PAP.,2024/06/11 15:15:49+00,545093
Fire & Emergency Medical Services,2024/05/13 04:00:00+00,799.99,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545094
Fire & Emergency Medical Services,2024/05/13 04:00:00+00,4995,MES/WARREN FIRE/LAWMEN,CT,DURABLE GOODS  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545224
Fire & Emergency Medical Services,2024/05/13 04:00:00+00,633.78,AMAZON RET* 113-720829,WA,VARIETY STORES,2024/06/11 15:15:49+00,545225
Office of the Attorney General,2024/05/13 04:00:00+00,240,BEVERIDGE SEAY,DC,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545228
District of Columbia Public Schools,2024/05/13 04:00:00+00,152.86,LINKEDIN ADS 955306087,CA,DIRECT MARKETING-CONTINUITY-SUBSCRIPTION MERCHANTS,2024/06/11 15:15:49+00,545229
District of Columbia Public Schools,2024/05/13 04:00:00+00,2466.05,METROPOLITAN,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545247
District of Columbia Public Schools,2024/05/13 04:00:00+00,3169.19,GRADUATIONSOURCE,NY,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,545581
District of Columbia Public Schools,2024/05/13 04:00:00+00,1512,THE MANAGEMENT CENTER,DC,ORGANIZATIONS  CHARITABLE AND SOCIAL SERVICES,2024/06/11 15:15:49+00,545749
District of Columbia Public Schools,2024/05/13 04:00:00+00,319.97,SOUTHWEST,TX,SOUTHWEST AIRLINES,2024/06/11 15:15:49+00,545752
District of Columbia Public Schools,2024/05/13 04:00:00+00,319.97,SOUTHWEST,TX,SOUTHWEST AIRLINES,2024/06/11 15:15:49+00,545753
District of Columbia Public Schools,2024/05/13 04:00:00+00,319.97,SOUTHWEST,TX,SOUTHWEST AIRLINES,2024/06/11 15:15:49+00,545754
District of Columbia Public Schools,2024/05/13 04:00:00+00,319.97,SOUTHWEST,TX,SOUTHWEST AIRLINES,2024/06/11 15:15:49+00,545755
District of Columbia Public Schools,2024/05/13 04:00:00+00,319.97,SOUTHWEST,TX,SOUTHWEST AIRLINES,2024/06/11 15:15:49+00,545756
District of Columbia Public Schools,2024/05/13 04:00:00+00,319.97,SOUTHWEST,TX,SOUTHWEST AIRLINES,2024/06/11 15:15:49+00,545757
District of Columbia Public Schools,2024/05/13 04:00:00+00,319.97,SOUTHWEST,TX,SOUTHWEST AIRLINES,2024/06/11 15:15:49+00,545758
District of Columbia Public Schools,2024/05/13 04:00:00+00,319.97,SOUTHWEST,TX,SOUTHWEST AIRLINES,2024/06/11 15:15:49+00,545759
District of Columbia Public Schools,2024/05/13 04:00:00+00,118,AMTRAK .CO13,DC,PASSENGER RAILWAYS,2024/06/11 15:15:49+00,545760
District of Columbia Public Schools,2024/05/13 04:00:00+00,434.9,U.S. OFFICE SOLUTIONS,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545769
District of Columbia Public Schools,2024/05/13 04:00:00+00,1075,U.S. OFFICE SOLUTIONS,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545770
Department of Health,2024/05/13 04:00:00+00,117.21,SHERATON,CA,SHERATON,2024/06/11 15:15:49+00,545928
District of Columbia Public Schools,2024/05/13 04:00:00+00,2115.19,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546219
District of Columbia Public Schools,2024/05/13 04:00:00+00,750,PAYPAL,CA,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546552
Fire & Emergency Medical Services,2024/05/13 04:00:00+00,296.9,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546689
District of Columbia Public Schools,2024/05/13 04:00:00+00,1800,PARTRANS LLC,MD,TRANSPORTATION SERVICES NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546844
District of Columbia Public Schools,2024/05/13 04:00:00+00,3731.03,FABRICATIONEVENTSINC,MD,EQUIPMENT RENTAL+LEASING SVS  FURNTURE-TOOL RENTAL,2024/06/11 15:15:49+00,546845
District of Columbia Public Schools,2024/05/13 04:00:00+00,500,PAYPAL,CA,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546855
District of Columbia Public Schools,2024/05/13 04:00:00+00,3533.5,STANDARD OFFICE SUPPLY,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546865
District Department of the Environment,2024/05/13 04:00:00+00,595,PROJECT MGMT INSTITUTE,PA,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546979
District Department of the Environment,2024/05/13 04:00:00+00,180,CHES CONSERV LNDSCP CO,MD,ORGANIZATIONS  CHARITABLE AND SOCIAL SERVICES,2024/06/11 15:15:49+00,546980
District Department of the Environment,2024/05/13 04:00:00+00,2613.75,AAA PARTY RENTALS,MD,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,546981
District of Columbia Public Schools,2024/05/13 04:00:00+00,400,SQ *VISION SECURITY SO,DC,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546983
District of Columbia Public Schools,2024/05/13 04:00:00+00,317.24,COURSRAQECLOWZZRFTGMH,CA,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546993
Fire & Emergency Medical Services,2024/05/13 04:00:00+00,109.99,AMAZON.COM*EN2JU42O3,WA,BOOK STORES,2024/06/11 15:15:49+00,546995
District of Columbia Public Schools,2024/05/13 04:00:00+00,134.44,FRAGERS,DC,HARDWARE STORES,2024/06/11 15:15:49+00,547126
Fire & Emergency Medical Services,2024/05/13 04:00:00+00,308.6,DELTA,GA,DELTA,2024/06/11 15:15:49+00,547127
Fire & Emergency Medical Services,2024/05/13 04:00:00+00,308.6,DELTA,GA,DELTA,2024/06/11 15:15:49+00,547128
Fire & Emergency Medical Services,2024/05/13 04:00:00+00,308.6,DELTA,GA,DELTA,2024/06/11 15:15:49+00,547129
Fire & Emergency Medical Services,2024/05/13 04:00:00+00,308.6,DELTA,GA,DELTA,2024/06/11 15:15:49+00,547130
Fire & Emergency Medical Services,2024/05/13 04:00:00+00,283.6,DELTA,GA,DELTA,2024/06/11 15:15:49+00,547131
Fire & Emergency Medical Services,2024/05/13 04:00:00+00,283.6,DELTA,GA,DELTA,2024/06/11 15:15:49+00,547132
Fire & Emergency Medical Services,2024/05/13 04:00:00+00,283.6,DELTA,GA,DELTA,2024/06/11 15:15:49+00,547133
Fire & Emergency Medical Services,2024/05/13 04:00:00+00,283.6,DELTA,GA,DELTA,2024/06/11 15:15:49+00,547134
District of Columbia Public Schools,2024/05/13 04:00:00+00,55.56,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,547136
District of Columbia Public Schools,2024/05/13 04:00:00+00,6,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,547137
District of Columbia Public Schools,2024/05/13 04:00:00+00,467.36,THE CALVIN PRICE GROUP,MD,STATIONERY-OFFICE SUPPLIES-PRINTING + WRITING PAP.,2024/06/11 15:15:49+00,547138
District of Columbia Public Schools,2024/05/13 04:00:00+00,1980,IN *BATTLE'S TRANSPORT,CA,TRANSPORTATION SERVICES NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,547141
District of Columbia Public Schools,2024/05/13 04:00:00+00,1760,LEXIA LEARNING SYS LLC,MA,COMPUTER SOFTWARE STORES,2024/06/11 15:15:49+00,547142
District of Columbia Public Schools,2024/05/13 04:00:00+00,79.98,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,547144
District of Columbia Public Schools,2024/05/13 04:00:00+00,46.61,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,547147
Department of Health,2024/05/13 04:00:00+00,288,VENNGAGE.COM,ON,COMP PROGRAMING DATA PRCSNG INTGRTD SYS DSGN SRVS,2024/06/11 15:15:49+00,547151
District of Columbia Public Schools,2024/05/13 04:00:00+00,260.24,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,547152
DC National Guard,2024/05/13 04:00:00+00,1230.5,IN *PRECISION CAPITAL,CA,STATIONERY-OFFICE SUPPLIES-PRINTING + WRITING PAP.,2024/06/11 15:15:49+00,547153
District of Columbia Public Schools,2024/05/12 04:00:00+00,55.03,FEDEX,TN,COURIER SVC-AIR + GROUND  FREIGHT FORWARDERS,2024/06/11 15:15:49+00,525375
Fire & Emergency Medical Services,2024/05/12 04:00:00+00,133.79,LUXOR - ADV DEP,NV,LUXOR HOTEL AND CASINO,2024/06/11 15:15:49+00,544929
Office of the Chief Technology Officer,2024/05/12 04:00:00+00,-79.98,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545395
Department of Small & Local Business Development,2024/05/12 04:00:00+00,343,EIG,MA,DIRECT MARKETING-CONTINUITY-SUBSCRIPTION MERCHANTS,2024/06/11 15:15:49+00,545396
District of Columbia Public Schools,2024/05/12 04:00:00+00,47.03,AMAZON.COM*K06T72PE3,WA,BOOK STORES,2024/06/11 15:15:49+00,545536
District of Columbia Public Schools,2024/05/12 04:00:00+00,917.24,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545554
Fire & Emergency Medical Services,2024/05/12 04:00:00+00,75.05,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546222
District of Columbia Public Schools,2024/05/12 04:00:00+00,194.75,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546685
District of Columbia Public Schools,2024/05/12 04:00:00+00,515.88,INDEED 92627524,TX,EMPLOYMENT AGENCIES  TEMPORARY HELP SERVICES,2024/06/11 15:15:49+00,546829
District of Columbia Public Schools,2024/05/12 04:00:00+00,167.2,LINKEDIN ADS 955040116,CA,DIRECT MARKETING-CONTINUITY-SUBSCRIPTION MERCHANTS,2024/06/11 15:15:49+00,546830
Department of Motor Vehicles,2024/05/12 04:00:00+00,20.07,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546834
Fire & Emergency Medical Services,2024/05/12 04:00:00+00,145,DRIVEEZMD REBILL,MD,BRIDGE AND ROAD FEES  TOLLS,2024/06/11 15:15:49+00,546841
District of Columbia Public Schools,2024/05/12 04:00:00+00,47.64,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,555601
District of Columbia Public Schools,2024/05/11 04:00:00+00,219.08,AMAZON MAR* 114-859204,WA,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,531503
District of Columbia Public Schools,2024/05/11 04:00:00+00,100.05,THE HOME DEPOT #2583,DC,HOME SUPPLY WAREHOUSE STORES,2024/06/11 15:15:49+00,531505
District Department of the Environment,2024/05/11 04:00:00+00,299,NACAA,DC,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545397
District of Columbia Public Schools,2024/05/11 04:00:00+00,201.28,ULINE,WI,DIRECT MARKETING-CATALOG MERCHANTS,2024/06/11 15:15:49+00,545532
Office of the Chief Technology Officer,2024/05/11 04:00:00+00,21.19,ADOBE,CA,COMPUTER SOFTWARE STORES,2024/06/11 15:15:49+00,545543
District Department of the Environment,2024/05/11 04:00:00+00,435.64,SHERATON CHARLOTTE,NC,SHERATON,2024/06/11 15:15:49+00,545549
District of Columbia Public Schools,2024/05/11 04:00:00+00,45.05,AMAZON MAR* 114-754517,WA,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,545721
Fire & Emergency Medical Services,2024/05/11 04:00:00+00,86.98,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545722
District of Columbia Public Schools,2024/05/11 04:00:00+00,54.05,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546216
District of Columbia Public Schools,2024/05/11 04:00:00+00,507.18,AMAZON MAR* 111-254423,WA,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,546360
DC Public Library,2024/05/11 04:00:00+00,2442.24,DROPBOX*W8MZ8X4FSHZK,CA,COMPUTER NETWORK-INFORMATION SERVICES,2024/06/11 15:15:49+00,546667
Office of the Mayor,2024/05/11 04:00:00+00,170,CORNER BAKERY -96,DC,CATERERS,2024/06/11 15:15:49+00,546675
Fire & Emergency Medical Services,2024/05/11 04:00:00+00,108.27,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546688
Office of the Mayor,2024/05/11 04:00:00+00,19.99,ADOBE  *ADOBE,CA,COMPUTER SOFTWARE STORES,2024/06/11 15:15:49+00,546826
District of Columbia Public Schools,2024/05/11 04:00:00+00,223.22,LINKEDIN ADS 954828089,CA,DIRECT MARKETING-CONTINUITY-SUBSCRIPTION MERCHANTS,2024/06/11 15:15:49+00,546828
Department of Motor Vehicles,2024/05/11 04:00:00+00,1178.18,HIRERIGHT LLC,CA,INFORMATION RETRIEVAL SERVICES,2024/06/11 15:15:49+00,546833
District of Columbia Public Schools,2024/05/11 04:00:00+00,156.05,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,555600
